No,Timestamp,RSSI No.1,RSSI No.2,Battery Voltage,Firmware Version
190,2021-07-15T19:00:00.000Z,-137,-137,4080,"rel.5.1h
"
191,2021-07-15T20:00:00.000Z,-137,-137,4062,"rel.5.1h
"
192,2021-07-15T21:00:00.000Z,-137,-137,4062,"rel.5.1h
"
193,2021-07-15T22:00:00.000Z,-137,-137,4080,"rel.5.1h
"
194,2021-07-15T23:00:00.000Z,-137,-137,4080,"rel.5.1h
"
195,2021-07-16T00:00:00.000Z,-137,-137,4080,"rel.5.1h
"
196,2021-07-16T01:00:00.000Z,-137,-137,4062,"rel.5.1h
"
197,2021-07-16T02:00:00.000Z,-137,-137,4062,"rel.5.1h
"
198,2021-07-16T03:00:00.000Z,-137,-137,4062,"rel.5.1h
"
199,2021-07-16T04:00:00.000Z,-137,-137,4080,"rel.5.1h
"
200,2021-07-16T05:00:00.000Z,-58,-137,4072,"rel.5.1h
"
201,2021-07-16T07:00:00.000Z,-58,-137,4080,"rel.5.1h
"
202,2021-07-16T10:00:00.000Z,-57,-137,4062,"rel.5.1h
"
203,2021-07-16T11:00:00.000Z,-57,-137,4062,"rel.5.1h
"
204,2021-07-16T12:00:00.000Z,-57,-137,4080,"rel.5.1h
"
205,2021-07-16T13:00:00.000Z,-57,-137,4080,"rel.5.1h
"
206,2021-07-16T14:00:00.000Z,-57,-137,4080,"rel.5.1h
"
207,2021-07-16T15:00:00.000Z,-137,-137,4080,"rel.5.1h
"
208,2021-07-16T16:00:00.000Z,-137,-137,4080,"rel.5.1h
"
209,2021-07-16T17:00:00.000Z,-137,-137,4064,"rel.5.1h
"
210,2021-07-16T18:00:00.000Z,-137,-137,4080,"rel.5.1h
"
211,2021-07-16T19:00:00.000Z,-137,-137,4080,"rel.5.1h
"
212,2021-07-16T20:00:00.000Z,-137,-137,4080,"rel.5.1h
"
213,2021-07-16T21:00:00.000Z,-137,-137,4080,"rel.5.1h
"
214,2021-07-16T22:00:00.000Z,-137,-137,4062,"rel.5.1h
"
215,2021-07-16T23:00:00.000Z,-137,-137,4062,"rel.5.1h
"
216,2021-07-17T00:00:00.000Z,-137,-137,4062,"rel.5.1h
"
217,2021-07-17T01:00:00.000Z,-137,-137,4080,"rel.5.1h
"
218,2021-07-17T02:00:00.000Z,-137,-137,4080,"rel.5.1h
"
219,2021-07-17T03:00:00.000Z,-137,-137,4064,"rel.5.1h
"
220,2021-07-17T04:00:00.000Z,-137,-137,4062,"rel.5.1h
"
221,2021-07-17T05:00:00.000Z,-137,-137,4064,"rel.5.1h
"
222,2021-07-17T06:00:00.000Z,-137,-137,4064,"rel.5.1h
"
223,2021-07-17T07:00:00.000Z,-137,-137,4062,"rel.5.1h
"
224,2021-07-17T08:00:00.000Z,-58,-137,4072,"rel.5.1h
"
225,2021-07-17T10:00:00.000Z,-137,-137,4062,"rel.5.1h
"
226,2021-07-17T11:00:00.000Z,-56,-137,4080,"rel.5.1h
"
227,2021-07-17T13:00:00.000Z,-137,-137,4080,"rel.5.1h
"
228,2021-07-17T14:00:00.000Z,-137,-137,4076,"rel.5.1h
"
229,2021-07-17T15:00:00.000Z,-137,-137,4062,"rel.5.1h
"
230,2021-07-17T16:00:00.000Z,-137,-137,4080,"rel.5.1h
"
231,2021-07-17T17:00:00.000Z,-137,-137,4064,"rel.5.1h
"
232,2021-07-17T18:00:00.000Z,-137,-137,4080,"rel.5.1h
"
233,2021-07-17T19:00:00.000Z,-137,-137,4062,"rel.5.1h
"
234,2021-07-17T20:00:00.000Z,-137,-137,4064,"rel.5.1h
"
235,2021-07-17T21:00:00.000Z,-137,-137,4062,"rel.5.1h
"
236,2021-07-17T22:00:00.000Z,-137,-137,4062,"rel.5.1h
"
237,2021-07-17T23:00:00.000Z,-137,-137,4062,"rel.5.1h
"
238,2021-07-18T00:00:00.000Z,-137,-137,4064,"rel.5.1h
"
239,2021-07-18T01:00:00.000Z,-137,-137,4062,"rel.5.1h
"
240,2021-07-18T02:00:00.000Z,-137,-137,4080,"rel.5.1h
"
241,2021-07-18T03:00:00.000Z,-137,-137,4062,"rel.5.1h
"
242,2021-07-18T04:00:00.000Z,-137,-137,4062,"rel.5.1h
"
243,2021-07-18T05:00:00.000Z,-137,-137,4064,"rel.5.1h
"
244,2021-07-18T06:00:00.000Z,-137,-137,4080,"rel.5.1h
"
245,2021-07-18T07:00:00.000Z,-137,-137,4080,"rel.5.1h
"
246,2021-07-18T08:00:00.000Z,-137,-137,4062,"rel.5.1h
"
247,2021-07-18T09:00:00.000Z,-137,-137,4062,"rel.5.1h
"
248,2021-07-18T10:00:00.000Z,-137,-137,4062,"rel.5.1h
"
249,2021-07-18T11:00:00.000Z,-137,-137,4080,"rel.5.1h
"
250,2021-07-18T12:00:00.000Z,-137,-137,4062,"rel.5.1h
"
251,2021-07-18T13:00:00.000Z,-137,-137,4062,"rel.5.1h
"
252,2021-07-18T14:00:00.000Z,-137,-137,4080,"rel.5.1h
"
253,2021-07-18T15:00:00.000Z,-137,-137,4080,"rel.5.1h
"
254,2021-07-18T16:00:00.000Z,-137,-137,4080,"rel.5.1h
"
255,2021-07-18T17:00:00.000Z,-137,-137,4080,"rel.5.1h
"
256,2021-07-18T18:00:00.000Z,-137,-137,4080,"rel.5.1h
"
257,2021-07-18T19:00:00.000Z,-137,-137,4080,"rel.5.1h
"
258,2021-07-18T20:00:00.000Z,-137,-137,4080,"rel.5.1h
"
259,2021-07-18T21:00:00.000Z,-137,-137,4062,"rel.5.1h
"
260,2021-07-18T22:00:00.000Z,-137,-137,4080,"rel.5.1h
"
261,2021-07-18T23:00:00.000Z,-137,-137,4064,"rel.5.1h
"
262,2021-07-19T00:00:00.000Z,-137,-137,4062,"rel.5.1h
"
263,2021-07-19T01:00:00.000Z,-137,-137,4080,"rel.5.1h
"
264,2021-07-19T02:00:00.000Z,-137,-137,4064,"rel.5.1h
"
265,2021-07-19T03:00:00.000Z,-137,-137,4062,"rel.5.1h
"
266,2021-07-19T04:00:00.000Z,-137,-137,4062,"rel.5.1h
"
267,2021-07-19T05:00:00.000Z,-137,-137,4080,"rel.5.1h
"
268,2021-07-19T06:00:00.000Z,-137,-137,4062,"rel.5.1h
"
269,2021-07-19T07:00:00.000Z,-137,-137,4062,"rel.5.1h
"
270,2021-07-19T08:00:00.000Z,-137,-137,4080,"rel.5.1h
"
271,2021-07-19T09:00:00.000Z,-137,-137,4062,"rel.5.1h
"
272,2021-07-19T10:00:00.000Z,-137,-137,4062,"rel.5.1h
"
273,2021-07-19T11:00:00.000Z,-137,-137,4068,"rel.5.1h
"
274,2021-07-19T12:00:00.000Z,-137,-137,4080,"rel.5.1h
"
275,2021-07-19T13:00:00.000Z,-137,-137,4080,"rel.5.1h
"
276,2021-07-19T14:00:00.000Z,-137,-137,4080,"rel.5.1h
"
277,2021-07-19T16:00:00.000Z,-137,-137,4080,"rel.5.1h
"
278,2021-07-19T17:00:00.000Z,-137,-137,4064,"rel.5.1h
"
279,2021-07-19T18:00:00.000Z,-137,-137,4080,"rel.5.1h
"
280,2021-07-19T19:00:00.000Z,-137,-137,4068,"rel.5.1h
"
281,2021-07-19T20:00:00.000Z,-137,-137,4080,"rel.5.1h
"
282,2021-07-19T21:00:00.000Z,-137,-137,4062,"rel.5.1h
"
283,2021-07-19T22:00:00.000Z,-137,-137,4062,"rel.5.1h
"
284,2021-07-19T23:00:00.000Z,-137,-137,4062,"rel.5.1h
"
285,2021-07-20T00:00:00.000Z,-137,-137,4064,"rel.5.1h
"
286,2021-07-20T01:00:00.000Z,-137,-137,4080,"rel.5.1h
"
287,2021-07-20T02:00:00.000Z,-137,-137,4064,"rel.5.1h
"
288,2021-07-20T03:00:00.000Z,-137,-137,4080,"rel.5.1h
"
289,2021-07-20T04:00:00.000Z,-137,-137,4080,"rel.5.1h
"
290,2021-07-20T05:00:00.000Z,-137,-137,4064,"rel.5.1h
"
291,2021-07-20T06:00:00.000Z,-58,-137,4080,"rel.5.1h
"
292,2021-07-20T07:00:00.000Z,-57,-137,4062,"rel.5.1h
"
293,2021-07-20T08:00:00.000Z,-57,-137,4080,"rel.5.1h
"
294,2021-07-20T09:00:00.000Z,-57,-137,4062,"rel.5.1h
"
295,2021-07-20T10:00:00.000Z,-57,-137,4080,"rel.5.1h
"
296,2021-07-20T11:00:00.000Z,-57,-137,4062,"rel.5.1h
"
297,2021-07-20T12:00:00.000Z,-137,-137,4064,"rel.5.1h
"
298,2021-07-20T13:00:00.000Z,-137,-137,4080,"rel.5.1h
"
299,2021-07-20T14:00:00.000Z,-137,-137,4080,"rel.5.1h
"
300,2021-07-20T15:00:00.000Z,-137,-137,4080,"rel.5.1h
"
301,2021-07-20T16:00:00.000Z,-137,-137,4080,"rel.5.1h
"
302,2021-07-20T17:00:00.000Z,-137,-137,4064,"rel.5.1h
"
303,2021-07-20T18:00:00.000Z,-137,-137,4064,"rel.5.1h
"
304,2021-07-20T19:00:00.000Z,-137,-137,4062,"rel.5.1h
"
305,2021-07-20T20:00:00.000Z,-137,-137,4062,"rel.5.1h
"
306,2021-07-20T21:00:00.000Z,-137,-137,4080,"rel.5.1h
"
307,2021-07-20T22:00:00.000Z,-137,-137,4062,"rel.5.1h
"
308,2021-07-20T23:00:00.000Z,-137,-137,4080,"rel.5.1h
"
309,2021-07-21T00:00:00.000Z,-137,-137,4062,"rel.5.1h
"
310,2021-07-21T01:00:00.000Z,-137,-137,4062,"rel.5.1h
"
311,2021-07-21T02:00:00.000Z,-137,-137,4064,"rel.5.1h
"
312,2021-07-21T03:00:00.000Z,-137,-137,4070,"rel.5.1h
"
313,2021-07-21T04:00:00.000Z,-137,-137,4078,"rel.5.1h
"
314,2021-07-21T05:00:00.000Z,-58,-137,4062,"rel.5.1h
"
315,2021-07-21T06:00:00.000Z,-58,-137,4080,"rel.5.1h
"
316,2021-07-21T07:00:00.000Z,-58,-137,4062,"rel.5.1h
"
317,2021-07-21T08:00:00.000Z,-57,-137,4080,"rel.5.1h
"
318,2021-07-21T09:00:00.000Z,-58,-137,4062,"rel.5.1h
"
319,2021-07-21T10:00:00.000Z,-57,-137,4080,"rel.5.1h
"
320,2021-07-21T11:00:00.000Z,-58,-137,4080,"rel.5.1h
"
321,2021-07-21T12:00:00.000Z,-58,-137,4080,"rel.5.1h
"
322,2021-07-21T13:00:00.000Z,-57,-137,4064,"rel.5.1h
"
323,2021-07-21T14:00:00.000Z,-57,-137,4062,"rel.5.1h
"
324,2021-07-21T15:00:00.000Z,-56,-137,4080,"rel.5.1h
"
325,2021-07-21T16:00:00.000Z,-58,-137,4062,"rel.5.1h
"
